Rank,Team,Power Score,W-L-T,Total W-L,PF
1,RyanJohnson567,0.9032175526130621,4-0-0,20-7,748
2,BallknowerJames,0.8549382716049383,3-1-0,22-5,772
3,jdalferes,0.7091888952856138,3-1-0,16-11,606
4,PapaChap69,0.7073818205079,3-1-0,14-13,659
5,PimpChevy,0.5559233672359752,2-2-0,11-16,587
6,JSUT2000,0.5478954775155122,2-2-0,10-17,597
7,jakehenley5,0.5276818269046248,1-3-0,12-15,686
8,BradenGarcia69,0.5056611015160238,1-3-0,12-15,635
9,DrewThetford,0.4162828631740549,0-4-0,12-15,621
10,AaronTucker,0.3914315870274419,1-3-0,6-21,542
